File Name,Case Type,Court,Year,Topic,Summary,Local Path
civil_general_pakistan_unknown_JP853-2017.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_JP853-2017.pdf
civil_general_pakistan_unknown_DeathSentence-Sessions_2.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_DeathSentence-Sessions_2.pdf
civil_general_pakistan_unknown_CrlA167-2023.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CrlA167-2023.pdf
civil_general_pakistan_unknown_DeathSentence-Sessions_3.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_DeathSentence-Sessions_3.pdf
civil_general_pakistan_unknown_CrlA172-2023.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CrlA172-2023.pdf
civil_general_pakistan_unknown_LifeImprisonment-Sessions_7.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_LifeImprisonment-Sessions_7.pdf
civil_general_pakistan_unknown_CrlA304-2020.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CrlA304-2020.pdf
civil_general_pakistan_unknown_DeathSentence-Sessions_4.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_DeathSentence-Sessions_4.pdf
civil_general_pakistan_unknown_CrlA231-2023.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CrlA231-2023.pdf
civil_general_pakistan_unknown_LifeImprisonment-LifeImprisonment_6.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_LifeImprisonment-LifeImprisonment_6.pdf
civil_general_pakistan_unknown_CrlPLA132-2018.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CrlPLA132-2018.pdf
civil_general_pakistan_unknown_DeathSentence-Sessions_5.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_DeathSentence-Sessions_5.pdf
civil_general_pakistan_unknown_JP403-2022.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_JP403-2022.pdf
criminal_appeal_pakistan_20_DeathSentence-Sessions.pdf,criminal,Supreme Court,20,appeal,"in the supreme court of pakistan
(appellate jurisdiction)
present:
mr. justice athar minallah
mr. justice irfan saadat khan
mr. justice malik shahzad ahmad khan
jail petitions no.389 and 549 of 2023
a",c:\hafsa_thesis material\supreme_court_scraper\pdfs\criminal\criminal_appeal_pakistan_20_DeathSentence-Sessions.pdf
criminal_appeal_pakistan_20_JP389-2023.pdf,criminal,Supreme Court,20,appeal,"in the supreme court of pakistan
(appellate jurisdiction)
present:
mr. justice athar minallah
mr. justice irfan saadat khan
mr. justice malik shahzad ahmad khan
jail petitions no.389 and 549 of 2023
a",c:\hafsa_thesis material\supreme_court_scraper\pdfs\criminal\criminal_appeal_pakistan_20_JP389-2023.pdf
civil_general_pakistan_unknown_LifeImprisonment-Sessions_8.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_LifeImprisonment-Sessions_8.pdf
civil_general_pakistan_unknown_JP868-2017.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_JP868-2017.pdf
civil_general_pakistan_unknown_LifeImprisonment-Sessions_9.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_LifeImprisonment-Sessions_9.pdf
civil_general_pakistan_unknown_CrlA566-2020.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CrlA566-2020.pdf
civil_general_pakistan_unknown_DeathSentence-Sessions_6.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_DeathSentence-Sessions_6.pdf
civil_general_pakistan_unknown_CrlA77-2023.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CrlA77-2023.pdf
civil_appeal_pakistan_20_Family-RecoveryofDowerAmount_2.pdf,civil,Supreme Court,20,appeal,"4?
■r •
in the supreme court of pakistan
(appellate jurisdiction)
i
present;
mr. justice yahya afridi, cj
mr. justice irfan saadat khan
mr. justice muhammad shafi siddiqur
»■
civil petition no.3455-l ",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_appeal_pakistan_20_Family-RecoveryofDowerAmount_2.pdf
civil_appeal_pakistan_20_CPLA3455-L-2022.pdf,civil,Supreme Court,20,appeal,"4?
■r •
in the supreme court of pakistan
(appellate jurisdiction)
i
present;
mr. justice yahya afridi, cj
mr. justice irfan saadat khan
mr. justice muhammad shafi siddiqur
»■
civil petition no.3455-l ",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_appeal_pakistan_20_CPLA3455-L-2022.pdf
civil_general_pakistan_unknown_Tax-IncomeTax_1.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_Tax-IncomeTax_1.pdf
civil_general_pakistan_unknown_CPLA2100-2024.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CPLA2100-2024.pdf
civil_general_pakistan_unknown_Family-RecoveryofDowerAmount.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_Family-RecoveryofDowerAmount.pdf
civil_general_pakistan_unknown_CPLA344-P-2022.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CPLA344-P-2022.pdf
civil_general_pakistan_unknown_DeathSentence-Sessions_7.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_DeathSentence-Sessions_7.pdf
civil_general_pakistan_unknown_CrlA29-2023.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CrlA29-2023.pdf
civil_general_pakistan_unknown_DeathSentence-AbductionandKidnapping.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_DeathSentence-AbductionandKidnapping.pdf
civil_general_pakistan_unknown_CrlA282-L-2020.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CrlA282-L-2020.pdf
civil_general_pakistan_unknown_Sentence-Morethan10years.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_Sentence-Morethan10years.pdf
civil_general_pakistan_unknown_CrlPLA972-L-2017.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CrlPLA972-L-2017.pdf
civil_general_pakistan_unknown_Transferoffamilysuit-Transferoffamilysuit.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_Transferoffamilysuit-Transferoffamilysuit.pdf
civil_general_pakistan_unknown_CMA100-2024.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CMA100-2024.pdf
civil_appeal_pakistan_20_Rent-Ejectment-Rent-Ejectment.pdf,civil,Supreme Court,20,appeal,"i
f in the supreme court of pakistan
(appellate jurisdiction)
present;
mr. justice irfan saadat khan
4^
mr. justice shahid bilal hassan
civil petition no.4389/2023
against the order dated 27.10.2023
p",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_appeal_pakistan_20_Rent-Ejectment-Rent-Ejectment.pdf
civil_appeal_pakistan_20_CPLA4389-2023.pdf,civil,Supreme Court,20,appeal,"i
f in the supreme court of pakistan
(appellate jurisdiction)
present;
mr. justice irfan saadat khan
4^
mr. justice shahid bilal hassan
civil petition no.4389/2023
against the order dated 27.10.2023
p",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_appeal_pakistan_20_CPLA4389-2023.pdf
civil_appeal_pakistan_20_AgainstInterimOrder-AgainstInterimOrder.pdf,civil,Supreme Court,20,appeal,"in the supreme court of pakistan
(appellate jurisdiction)
present:
mr. justice irfan saadat khan
mr. justice shahid bilal hassan
cpla no.251-q of 2024
(against the judgment dated 26.07.2024 of the hig",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_appeal_pakistan_20_AgainstInterimOrder-AgainstInterimOrder.pdf
civil_appeal_pakistan_20_CPLA251-Q-2024.pdf,civil,Supreme Court,20,appeal,"in the supreme court of pakistan
(appellate jurisdiction)
present:
mr. justice irfan saadat khan
mr. justice shahid bilal hassan
cpla no.251-q of 2024
(against the judgment dated 26.07.2024 of the hig",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_appeal_pakistan_20_CPLA251-Q-2024.pdf
bail_general_pakistan_20_Rent-Ejectment-Rent-Ejectment.pdf,bail,Supreme Court,20,general,"in the supreme court of pakistan
(appellate jurisdiction)
present:
mr. justice irfan saadat khan
mr. justice aqeel ahmed abbasi
civil petition no.832-k of 2024
against the order dated 05.08.2021 of th",c:\hafsa_thesis material\supreme_court_scraper\pdfs\bail\bail_general_pakistan_20_Rent-Ejectment-Rent-Ejectment.pdf
bail_general_pakistan_20_CPLA832-K-2024.pdf,bail,Supreme Court,20,general,"in the supreme court of pakistan
(appellate jurisdiction)
present:
mr. justice irfan saadat khan
mr. justice aqeel ahmed abbasi
civil petition no.832-k of 2024
against the order dated 05.08.2021 of th",c:\hafsa_thesis material\supreme_court_scraper\pdfs\bail\bail_general_pakistan_20_CPLA832-K-2024.pdf
civil_general_pakistan_unknown_Suitforspecificperformance-Suitforspecificperformance_1.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_Suitforspecificperformance-Suitforspecificperformance_1.pdf
civil_general_pakistan_unknown_CPLA812-K-2022_1.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CPLA812-K-2022_1.pdf
civil_general_pakistan_unknown_Election-ProvincialAssembly-IllegalCorruptPractice.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_Election-ProvincialAssembly-IllegalCorruptPractice.pdf
civil_general_pakistan_unknown_CA1357-2024.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CA1357-2024.pdf
civil_general_pakistan_unknown_Election-ProvincialAssembly-IllegalCorruptPractice_1.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_Election-ProvincialAssembly-IllegalCorruptPractice_1.pdf
civil_general_pakistan_unknown_CA1394-2024.pdf,civil,Supreme Court,unknown,general,"
",c:\hafsa_thesis material\supreme_court_scraper\pdfs\civil\civil_general_pakistan_unknown_CA1394-2024.pdf
